time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
0.796875,-1.795320,-1.795320,-1.359245,-1.508316,-2.976194,-1.795320
0.804688,-1.845013,-1.845013,-1.378623,-1.554487,-2.951043,-1.845013
0.812500,-1.795282,-1.795282,-1.359158,-1.508125,-2.976136,-1.795282
0.820312,-1.845131,-1.845131,-1.378709,-1.554680,-2.951111,-1.845131
0.828125,-1.795245,-1.795245,-1.359073,-1.507929,-2.976085,-1.795245
0.835938,-1.845250,-1.845250,-1.378798,-1.554877,-2.951175,-1.845250
0.843750,-1.795206,-1.795206,-1.358982,-1.507732,-2.976036,-1.795206
0.851562,-1.845368,-1.845368,-1.378889,-1.555077,-2.951238,-1.845368
0.859375,-1.795167,-1.795167,-1.358891,-1.507528,-2.975988,-1.795167
0.867188,-1.845486,-1.845486,-1.378981,-1.555281,-2.951293,-1.845486
0.875000,-1.795127,-1.795127,-1.358797,-1.507323,-2.975947,-1.795127
0.882812,-1.845604,-1.845604,-1.379076,-1.555488,-2.951344,-1.845604
0.890625,-1.795087,-1.795087,-1.358700,-1.507113,-2.975908,-1.795087
0.898438,-1.845723,-1.845723,-1.379175,-1.555700,-2.951393,-1.845723
0.906250,-1.795047,-1.795047,-1.358603,-1.506899,-2.975875,-1.795047
0.914062,-1.845840,-1.845840,-1.379274,-1.555917,-2.951437,-1.845840
0.921875,-1.795005,-1.795005,-1.358502,-1.506680,-2.975842,-1.795005
0.929688,-1.845959,-1.845959,-1.379377,-1.556137,-2.951477,-1.845959
0.937500,-1.794963,-1.794963,-1.358399,-1.506458,-2.975815,-1.794963
0.945312,-1.846077,-1.846077,-1.379481,-1.556362,-2.951512,-1.846077
0.953125,-1.794921,-1.794921,-1.358293,-1.506232,-2.975789,-1.794921
0.960938,-1.846195,-1.846195,-1.379588,-1.556592,-2.951545,-1.846195
0.968750,-1.794877,-1.794877,-1.358184,-1.505999,-2.975768,-1.794877
